id	mac	ip	hub_token	is_deleted	created_at	updated_at
25	12:34:56:78:90:12	42.113.162.119	0123456789012345	0	2016-10-26 07:29:58	2016-10-26 07:30:33
26	01:12:23:34:45:56	66.102.6.88	1123456789012345	0	2016-10-27 08:34:32	2016-11-07 02:08:23
27	ab:cd:ef:ab:cd:ef	42.117.239.154	1234567891234567	1	2016-10-27 15:52:38	2016-11-07 02:09:15
28	ab:cd:ef:ab:cd:e3	58.186.186.178	1234567891234569	1	2016-11-03 07:51:50	2016-11-03 07:55:13
29	ab:cd:ef:ab:cd:e3	42.117.239.154	1234567891234568	0	2016-11-03 07:55:08	2016-11-04 04:33:32
30	ab:cd:ef:ab:cd:ef	42.117.239.154	30727a8341aea790	1	2016-11-07 02:08:45	2016-11-11 14:22:54
31	5c:cf:7f:80:3e:f0	42.117.239.154	1234567891234567	1	2016-11-07 04:39:21	2016-11-07 14:00:10
32	5c:cf:7f:80:3e:f0	42.117.239.154	63025145439d1c44	1	2016-11-07 09:38:27	2016-11-07 11:24:07
33	5c:cf:7f:80:3e:f0	42.117.239.154	92bd24a3ff2b3ebf	1	2016-11-07 11:23:43	2016-11-07 11:33:51
34	5c:cf:7f:80:3e:f0	42.117.239.154	3fcc86373ac10ca2	1	2016-11-07 13:59:46	2016-11-07 14:02:32
35	5c:cf:7f:80:3e:f0	42.117.239.154	dfb1f01b7d14997c	1	2016-11-07 14:02:08	2016-11-08 03:12:15
36	5e:cf:7f:80:3e:f0	42.117.239.154	31b53562c79656e5	1	2016-11-07 14:20:48	2016-11-07 15:52:46
37	5e:cf:7f:80:3e:f0	42.117.239.154	1234567891234567	1	2016-11-07 15:46:34	2016-11-07 16:04:26
38	5e:cf:7f:80:3e:f0	42.117.239.154	7f698fb6c77da499	0	2016-11-07 16:04:07	2016-11-07 16:04:26
39	5c:cf:7f:80:3e:f0	42.117.239.154	1234567891234567	1	2016-11-08 01:37:39	2016-11-08 06:02:41
40	5c:cf:7f:80:3e:f0	42.117.239.154	f3acb44ea30e5e43	1	2016-11-08 03:11:51	2016-11-08 03:40:02
41	5c:cf:7f:80:3e:f0	42.117.239.154	dc031a7f82abdec7	1	2016-11-08 03:39:38	2016-11-08 03:55:08
42	5c:cf:7f:80:3e:f0	42.117.239.154	4a3c7da7c45c1398	1	2016-11-08 06:02:19	2016-11-08 06:28:41
43	5c:cf:7f:80:3e:f0	42.117.239.154	eacc02e3a756a910	1	2016-11-08 06:28:37	2016-11-08 07:29:28
44	5c:cf:7f:80:3e:f0	42.117.239.154	d8e4e553a4689a70	1	2016-11-08 07:29:04	2016-11-08 13:32:01
45	5c:cf:7f:80:3e:f0	42.117.239.154	e12725c2537776e8	1	2016-11-08 13:31:37	2016-11-08 14:23:35
46	5c:cf:7f:80:3e:f0	42.117.239.154	a95654955910ef15	1	2016-11-08 14:23:11	2016-11-08 16:36:44
47	5c:cf:7f:80:3e:f0	42.117.239.154	ac0b4c6c23c63505	1	2016-11-08 16:36:26	2016-11-08 18:27:22
48	5c:cf:7f:80:3e:f0	42.117.239.154	1234567891234567	1	2016-11-08 18:26:58	2016-11-09 11:47:58
49	NULL	NULL	791223b51e1f8053	0	2016-11-09 07:15:40	2016-11-09 07:15:40
50	NULL	NULL	0ad179544e9cb1f0	0	2016-11-09 11:19:53	2016-11-09 11:19:53
51	NULL	NULL	965d23458d612bc6	0	2016-11-09 11:25:42	2016-11-09 11:25:42
52	5c:cf:7f:80:3e:f0	42.117.239.154	486e098306d693bc	1	2016-11-09 11:47:39	2016-11-09 12:02:32
53	NULL	NULL	10ab0960230eec4c	0	2016-11-09 11:55:45	2016-11-09 11:55:45
54	NULL	NULL	f5f29107af97d15d	0	2016-11-09 12:00:00	2016-11-09 12:00:00
55	5c:cf:7f:80:3e:f0	42.117.239.154	f403ff49e95ddd75	1	2016-11-09 12:02:08	2016-11-10 13:31:17
56	ab:cd:ef:ab:cd:ef	42.117.238.13	1234567891234567	1	2016-11-10 12:17:26	2016-11-29 15:23:37
57	NULL	NULL	d2aa54dacde17742	0	2016-11-10 12:49:39	2016-11-10 12:49:39
58	NULL	NULL	3f0056c4adb6d024	0	2016-11-10 13:03:42	2016-11-10 13:03:42
59	NULL	NULL	eed287623c70e80a	0	2016-11-10 13:08:19	2016-11-10 13:08:19
60	5c:cf:7f:80:3e:f0	42.117.239.154	30ba85fee3747f15	1	2016-11-10 13:30:58	2016-11-12 03:08:42
61	NULL	NULL	c9ee0e28fe160863	0	2016-11-11 13:37:09	2016-11-11 13:37:09
62	NULL	NULL	4c7ce5b0a24812d5	0	2016-11-11 14:48:05	2016-11-11 14:48:05
63	NULL	NULL	c6395085f8cb549c	0	2016-11-11 14:52:09	2016-11-11 14:52:09
64	5c:cf:7f:80:3e:f0	42.117.239.154	590c7a166b188d37	1	2016-11-12 03:08:31	2016-11-12 06:10:19
65	5c:cf:7f:80:3e:f0	42.117.239.154	70326b70258f7988	1	2016-11-12 06:10:06	2016-11-12 09:22:17
66	5c:cf:7f:80:3e:f0	42.117.239.154	9a50a666b124ce7f	1	2016-11-12 09:22:04	2016-11-12 09:33:39
67	5c:cf:7f:80:3e:f0	42.117.239.154	cd0f987a25fc076f	1	2016-11-12 09:33:20	2016-11-12 09:39:43
68	5c:cf:7f:80:3e:f0	42.117.239.154	aeddfe410ae00cc6	1	2016-11-12 09:39:23	2016-11-12 09:57:27
69	5c:cf:7f:80:3e:f0	42.117.239.154	d0f339a7d98e0b42	1	2016-11-12 09:57:13	2016-11-13 03:18:33
70	NULL	NULL	d2299ce51b87f1aa	0	2016-11-12 13:20:13	2016-11-12 13:20:13
71	5c:cf:7f:80:3e:f0	42.117.239.154	cd3788ddfee3abe9	1	2016-11-13 03:18:09	2016-11-13 03:22:40
72	5c:cf:7f:80:3e:f0	42.117.239.154	d8781bdf6b908254	1	2016-11-13 03:22:16	2016-11-13 03:33:02
73	5c:cf:7f:80:3e:f0	42.117.239.154	dad1fd68348a584f	1	2016-11-13 03:32:38	2016-11-13 04:33:58
74	5c:cf:7f:80:3e:f0	42.117.239.154	99d7feb40044acdf	1	2016-11-13 04:33:34	2016-11-14 05:58:16
75	5c:cf:7f:80:3e:f0	42.117.239.154	576f569ae9f27ab6	1	2016-11-14 05:57:52	2016-11-14 06:03:45
76	5c:cf:7f:80:3e:f0	42.117.239.154	c8495ff2db5f3d21	1	2016-11-14 06:03:26	2016-11-14 14:15:05
77	NULL	NULL	6667a7f99b6ed7e8	0	2016-11-14 11:36:14	2016-11-14 11:36:14
78	5c:cf:7f:80:3e:f0	42.117.239.154	c0998e838c2bceb9	1	2016-11-14 14:14:43	2016-11-15 13:49:50
79	NULL	NULL	52f47968c6a890fb	0	2016-11-15 11:32:38	2016-11-15 11:32:38
80	5c:cf:7f:80:3e:f0	58.186.174.8	88ac8580eb9484cc	1	2016-11-15 13:49:27	2016-11-16 09:31:34
81	5c:cf:7f:80:3e:f0	58.186.174.8	b322e9cee1f301b2	1	2016-11-16 09:31:15	2016-11-17 06:33:37
82	5c:cf:7f:80:3e:f0	118.68.20.149	9b691d4162dc0d21	1	2016-11-17 06:33:14	2016-11-17 07:31:37
83	5c:cf:7f:80:3e:f0	118.68.20.149	98861b40028f891f	1	2016-11-17 07:31:14	2016-11-17 09:57:03
84	NULL	NULL	8b0d2b428d8d3b4e	0	2016-11-17 09:37:33	2016-11-17 09:37:33
85	5c:cf:7f:80:3e:f0	1.52.230.115	72e3146a59814500	1	2016-11-17 09:56:45	2016-11-21 02:04:01
86	NULL	NULL	99fa7492ba794459	0	2016-11-18 07:15:50	2016-11-18 07:15:50
87	5c:cf:7f:80:3e:f0	118.68.23.221	694580eda138b262	1	2016-11-21 02:03:42	2016-11-30 02:23:23
88	NULL	NULL	44a409932d349157	0	2016-11-23 02:32:47	2016-11-23 02:32:47
89	5e:cf:7f:13:5b:d3	42.117.238.13	5468dafcd6b4bb0a	1	2016-11-24 04:43:15	2016-11-25 08:59:55
90	NULL	NULL	0b03f21750272af6	0	2016-11-24 07:22:48	2016-11-24 07:22:48
91	5c:cf:7f:13:5b:d3	42.117.238.13	ec3c1fd8897e83d7	1	2016-11-24 07:27:26	2016-11-25 08:43:28
92	5c:cf:7f:13:5b:d3	115.72.27.152	d3b525e1200d9b12	1	2016-11-25 08:43:14	2016-11-28 05:34:36
93	5e:cf:7f:13:5b:d3	115.72.27.152	471f87e60f4db8d5	1	2016-11-25 08:59:31	2016-11-28 04:29:22
94	62:01:94:0d:ab:fb	42.117.238.13	2f13e98acd2c2f91	1	2016-11-26 11:01:29	2016-11-29 06:25:14
95	60:01:94:0d:ab:fb	42.117.238.13	7f15cd521e5a40b7	1	2016-11-28 02:36:14	2016-11-28 02:57:06
96	60:01:94:0d:ab:fb	42.117.238.13	c98948c07e944a21	1	2016-11-28 02:56:42	2016-11-28 03:29:02
97	60:01:94:0d:ab:fb	115.72.27.152	a7cf96f1e512a068	1	2016-11-28 03:28:48	2016-11-28 11:42:38
98	5e:cf:7f:13:5b:d3	115.72.27.152	7c7e0020d9510799	1	2016-11-28 04:29:09	2016-11-28 04:48:41
99	5e:cf:7f:13:5b:d3	115.72.27.152	5c70813dea975c46	1	2016-11-28 04:48:17	2016-11-28 05:15:41
100	5e:cf:7f:13:5b:d3	42.117.238.13	5e8467df50e7cedc	1	2016-11-28 05:15:23	2016-11-29 04:55:33
101	5c:cf:7f:13:5b:d3	115.72.27.152	80b0cfd8a26b9097	1	2016-11-28 05:34:17	2016-11-28 06:38:27
102	5c:cf:7f:13:5b:d3	115.72.27.152	adda67b8ccde16fc	1	2016-11-28 06:38:13	2016-11-29 04:45:26
103	NULL	NULL	f3c53ce8a75a7f98	0	2016-11-28 09:37:56	2016-11-28 09:37:56
104	60:01:94:0d:ab:fb	42.117.238.13	06ac4e90033515bd	1	2016-11-28 11:42:18	2016-11-29 08:14:55
105	5c:cf:7f:13:5b:d3	42.117.238.13	22345f70d5f52f3c	1	2016-11-29 04:45:18	2017-01-11 10:19:14
106	5e:cf:7f:13:5b:d3	115.72.27.152	1a9dd49c5b113fc5	1	2016-11-29 04:55:24	2017-01-11 11:12:42
107	62:01:94:0d:ab:fb	115.72.27.152	d9c72ef5a900983e	1	2016-11-29 06:24:59	2016-11-29 17:05:23
108	60:01:94:0d:ab:fb	27.75.230.246	46443dee95207a20	1	2016-11-29 08:14:46	2016-11-29 08:17:09
109	60:01:94:0d:ab:fb	27.75.230.246	be8eea88a2fbf39b	1	2016-11-29 08:16:55	2016-11-29 08:37:25
110	NULL	NULL	4ec0f204b111294b	0	2016-11-29 08:16:59	2016-11-29 08:16:59
111	NULL	NULL	44d2152501afca7e	0	2016-11-29 08:27:13	2016-11-29 08:27:13
112	NULL	NULL	81f2b2c54517e1bb	0	2016-11-29 08:31:20	2016-11-29 08:31:20
